title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,id,tagline,url,submission_period_dates,submission_deadline_text,submission_deadline_iso,time_left_to_submission,cash_prizes_count,other_prizes_count,registrations_count,eligibility,rules_url,schedule_url,thumbnail_url,featured,managed_by_devpost,invite_only
Graphiques Innovation Challenge,Hack Club,open,Online,Online,2026-08-21,2026-09-14,2026-09-14,,,10 non-cash prizes,,,"Enterprise, Fintech, Productivity",https://graphiques-challenge.devpost.com/,devpost.com,2026-09-14T15:55:13.918320+00:00,31098,Lets Redesign the World !!,https://graphiques-challenge.devpost.com/,"Aug 21 - Sep 14, 2026","Deadline: Sep 14, 2026 @ 5:00pm EDT",2026-09-14T17:00:00-04:00,about 5 hours left,0,10,191,"Above legal age of majority in country of residence | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://graphiques-challenge.devpost.com/rules,https://graphiques-challenge.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/155/608/datas/medium_square.png,False,False,False
Hyperbloom September - AI/ML,hyperbloom hacks,open,Online,Online,2026-08-25,2026-09-14,2026-09-14,,,"$ 1,710 in cash",1710,USD,"IoT, Machine Learning/AI, Social Good",https://hyperbloom-september.devpost.com/,devpost.com,2026-09-14T15:55:15.330963+00:00,31082,Build Intelligence.,https://hyperbloom-september.devpost.com/,"Aug 25 - Sep 14, 2026","Deadline: Sep 14, 2026 @ 5:00pm EDT",2026-09-14T17:00:00-04:00,about 5 hours left,5,1,456,"Above legal age of majority in country of residence | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://hyperbloom-september.devpost.com/rules,https://hyperbloom-september.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/154/754/datas/medium_square.png,False,False,False
Agents for Humans Hackathon,Amazon,open,Online,Online,2026-08-10,2026-09-14,2026-09-14,,,"$ 40,000 in cash",40000,USD,"Beginner Friendly, Machine Learning/AI, Open Ended",https://agentsforhumans.devpost.com/,devpost.com,2026-09-14T15:55:16.573543+00:00,30317,Build an AI agent with Strands Agents SDK that handles repetitive tasks,https://agentsforhumans.devpost.com/,"Aug 10 - Sep 14, 2026","Deadline: Sep 14, 2026 @ 5:00pm PDT",2026-09-14T20:00:00-04:00,about 8 hours left,10,0,9844,Above legal age of majority in country of residence | Specific countries/territories excluded,https://agentsforhumans.devpost.com/rules,https://agentsforhumans.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/064/760/datas/medium_square.jpg,True,True,False
AI Builders Hackathon,OSC,open,Online,Online,2026-08-21,2026-09-15,2026-09-15,,,"$ 33,900 in cash",33900,USD,"Machine Learning/AI, Open Ended, Beginner Friendly",https://ai-builders-hackathon-2026.devpost.com/,devpost.com,2026-09-14T15:55:17.819559+00:00,30452,Building the Future of Intelligent Systems. The Internet Needs Better AI.,https://ai-builders-hackathon-2026.devpost.com/,"Aug 21 - Sep 15, 2026","Deadline: Sep 15, 2026 @ 11:00pm EDT",2026-09-15T23:00:00-04:00,1 day left,2,3,3333,"Above legal age of majority in country of residence | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://ai-builders-hackathon-2026.devpost.com/rules,https://ai-builders-hackathon-2026.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/004/783/650/datas/medium_square.png,False,False,False
GatewayGS Hackathon 2,GatewayGS,open,Online,Online,2026-09-01,2026-09-16,2026-09-16,,,1 non-cash prize,,,"Beginner Friendly, Machine Learning/AI, Open Ended",https://gatewaygs-hackathon-2.devpost.com/,devpost.com,2026-09-14T15:55:19.192900+00:00,30842,create an AI tool solving a real world problem,https://gatewaygs-hackathon-2.devpost.com/,"Sep 01 - 16, 2026","Deadline: Sep 16, 2026 @ 5:00pm EDT",2026-09-16T17:00:00-04:00,2 days left,0,1,139,"Ages 13+ only | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://gatewaygs-hackathon-2.devpost.com/rules,https://gatewaygs-hackathon-2.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/030/054/datas/medium_square.png,False,False,False
TechCommons Hacks V2 - Hacks to Inspire,TechCommons,open,Online,Online,2026-09-10,2026-09-17,2026-09-17,,,"$ 29,900 in cash",29900,USD,"Beginner Friendly, Machine Learning/AI, Social Good",https://techcommons-hacks-v2.devpost.com/,devpost.com,2026-09-14T15:55:20.418855+00:00,31273,Hack for Impact. Inspire the Future!,https://techcommons-hacks-v2.devpost.com/,"Sep 10 - 17, 2026","Deadline: Sep 17, 2026 @ 5:00pm AEST",2026-09-17T03:00:00-04:00,3 days left,1,5,132,"Ages 13 to 20 only | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://techcommons-hacks-v2.devpost.com/rules,https://techcommons-hacks-v2.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/273/892/datas/medium_square.png,False,False,False
COMPSPHERE 12,President University,open,Online,Online,2026-08-03,2026-09-17,2026-09-17,,,"$ 1,247 in cash",1247,USD,"Blockchain, Machine Learning/AI, Cybersecurity",https://compsphere12.devpost.com/,devpost.com,2026-09-14T15:55:21.681086+00:00,30851,"Connect The Ideas, Create The Future",https://compsphere12.devpost.com/,"Aug 03 - Sep 17, 2026","Deadline: Sep 18, 2026 @ 12:00am WIB",2026-09-17T13:00:00-04:00,3 days left,7,0,361,"Ages 15 to 25 only | Students only | Companies/professional organizations excluded from participation | All countries/territories, excluding standard exceptions",https://compsphere12.devpost.com/rules,https://compsphere12.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/170/129/datas/medium_square.jpeg,False,False,False
Poly.Tech mini hackathon,None,open,Poly.Tech mini hackathon,Offline,2026-09-11,2026-09-17,2026-09-17,,,$ 50 in cash,50,USD,"Beginner Friendly, Education, Gaming",https://poly-tech-mini-hackathon-31322.devpost.com/,devpost.com,2026-09-14T15:55:22.888536+00:00,31322,Mini hackathon for all Baltimore Polytechnic Students.,https://poly-tech-mini-hackathon-31322.devpost.com/,"Sep 11 - 17, 2026","Deadline: Sep 17, 2026 @ 11:45pm EDT",2026-09-17T23:45:00-04:00,4 days left,3,0,28,"Above legal age of majority in country of residence | High school students only | All countries/territories, excluding standard exceptions",https://poly-tech-mini-hackathon-31322.devpost.com/rules,https://poly-tech-mini-hackathon-31322.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/005/298/401/datas/medium_square.png,False,False,False
The Rice University Urban Sustainability Hackathon,Rice University,open,Online,Online,2026-06-23,2026-09-18,2026-09-18,2,6,"$ 17,500 in cash",17500,USD,"Design, Social Good, Databases",https://rice-urban-sustainability.devpost.com/,devpost.com,2026-09-14T15:55:24.176345+00:00,30371,World Cup 2026 HACK,https://rice-urban-sustainability.devpost.com/,"Jun 23 - Sep 18, 2026","Deadline: Sep 17, 2026 @ 11:45pm CDT",2026-09-18T00:45:00-04:00,4 days left,3,0,432,Ages 18+ only | College students only | Team required: 2 to 6 members | Companies/professional organizations excluded from participation | US only,https://rice-urban-sustainability.devpost.com/rules,https://rice-urban-sustainability.devpost.com/details/dates,https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/004/748/866/datas/medium_square.png,False,False,False
