title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,slug,challenge_type,company_name,registrations_count,start_time_utc,start_time_formatted,end_time_utc,end_time_formatted,url,short_url,min_team_size,max_team_size,is_team,event_category,organizer_name,image_url,listing_image,cover_image,description_text
GitHub Repo Value Check,HackerEarth,Ongoing,N/A,N/A,2026-08-14,2026-09-20,N/A,1,1,N/A,N/A,N/A,"live, team",https://www.hackerearth.com/challenges/hackathon/github-repo-value-check/,hackerearth.com,2026-09-14T15:57:11Z,github-repo-value-check,Hackathon,HackerEarth,1,2026-08-14T07:30:00,"Aug 14, 2026 07:30 AM UTC (UTC)",2026-09-20T18:29:00,"Sep 20, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/hackathon/github-repo-value-check/,https://www.hackerearth.com/challenges/hackathon/github-repo-value-check/,1,1,True,N/A,HackerEarth,https://media.hackerearth.com/media/companies/b689530-imghh.png,https://media.hackerearth.com/media/hackathon/github-repo-value-check/images/0513dd6c97-listingimagegithubpricing.jpeg,N/A,"Hacking is building things that you always wanted to have but no one has built it yet. It's to come up with an amazing idea and work tirelessly on it. It is to fail, fail again and fail better. Try out new things and learn while doing that. It's to work together, collaborate and build things that are innovative. It is to be a better programmer. With that spirit, HackerEarth is conducting a hackathon - GitHub Repo Value Check and invites all developers and hackathon enthusiasts to participate in an interesting and engaging hackathon."
Yuva Yodha Energy Tech Hackathon,Schneider Electric,Ongoing,N/A,N/A,2026-08-16,2026-10-04,N/A,1,1,"₹45,00,000 in prizes",4500000.0,INR,"live, team",https://www.hackerearth.com/challenges/hackathon/yuva-yodha-energy-tech-hackathon/,hackerearth.com,2026-09-14T15:57:13Z,yuva-yodha-energy-tech-hackathon,Hackathon,Schneider Electric,1,2026-08-16T18:30:00,"Aug 16, 2026 06:30 PM UTC (UTC)",2026-10-04T18:29:00,"Oct 04, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/hackathon/yuva-yodha-energy-tech-hackathon/,https://www.hackerearth.com/challenges/hackathon/yuva-yodha-energy-tech-hackathon/,1,1,True,N/A,Schneider Electric,https://media.hackerearth.com/media/companies/41925ac-Schneider-Electric-logo-jpg-.png,https://media.hackerearth.com/media/hackathon/yuva-yodha-energy-tech-hackathon/images/8d13c0849a-ChatGPT_Image_Aug_17_2026_02_47_21_PM.jpg,N/A,"Hacking is building things that you always wanted to have but no one has built it yet. It's to come up with an amazing idea and work tirelessly on it. It is to fail, fail again and fail better. Try out new things and learn while doing that. It's to work together, collaborate and build things that are innovative. It is to be a better programmer. With that spirit, HackerEarth is conducting a hackathon - Yuva Yodha Energy Tech Hackathon and invites all developers and hackathon enthusiasts to participate in an interesting and engaging hackathon."
Juspay Hiring Challenge 2026,Juspay,Upcoming,Bangalore,Offline,2026-09-19,2026-09-20,N/A,1,1,N/A,N/A,N/A,N/A,https://www.hackerearth.com/challenges/competitive/juspay-hiring-challenge-2026/,hackerearth.com,2026-09-14T15:57:14Z,juspay-hiring-challenge-2026,Competitive,Juspay,8698,2026-09-19T12:30:00,"Sep 19, 2026 12:30 PM UTC (UTC)",2026-09-20T18:29:00,"Sep 20, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/competitive/juspay-hiring-challenge-2026/,https://www.hackerearth.com/challenges/test/juspay-hiring-challenge-2026/,1,1,False,hiring-database,Juspay,https://media.hackerearth.com/media/companies/b64e0e1-Thumbnail.jpg,https://media.hackerearth.com/media/hackathon/juspay-hiring-challenge-2026/images/ebcf5547a7-juspay_5.jpg,https://media.hackerearth.com/media/hackathon/juspay-hiring-challenge-2026/images/875975e7a7-juspay_2.png,"Juspay is looking for talented Functional Programmers and System Thinkers to join its engineering teams in Bangalore. This challenge is an opportunity to demonstrate your programming ability, problem-solving skills, and ability to think through complex technical problems. Successful candidates will progress through multiple stages of assessment before being invited to a 1-day hackathon. Eligibility Criteria Experience: 1–5 years of industry experience Location: Bangalore Backgrounds: Developers with experience in: SDK Engineering Backend Engineering Data Science / Intelligence Systems Systems Engineering / System Design Candidates should have strong programming and problem-solving skills. There is no language restriction for the programming assessments. What We're Looking For Juspay is looking for engineers who are comfortable operating at the intersection of AI, large-scale data systems, distributed systems, and real-world infrastructure. Strong candidates demonstrate: First-principles thinking – the ability to break down complex problems and develop elegant, scalable solutions. Strong programming fundamentals – the ability to translate ideas into reliable implementations. Systems thinking – an understanding of scalability, reliability, performance, and real-world constraints. 0 → 1 mindset – an interest in building new systems, frameworks, and solutions from the ground up. Problem-solving ability – the ability to reason through unfamiliar and complex technical problems. Juspay specifically looks for engineers, researchers, and system thinkers who are comfortable working on complex problems where AI, large-scale systems, and societal-scale infrastructure intersect."
Code Kitchen,AIM,Ongoing,N/A,N/A,2026-08-24,2026-09-15,N/A,1,1,₹10 Lakh prize pool,1000000.0,INR,"live, team",https://www.hackerearth.com/challenges/hackathon/code-kitchen/,hackerearth.com,2026-09-14T15:57:14Z,code-kitchen,Hackathon,AIM,4,2026-08-24T18:30:00,"Aug 24, 2026 06:30 PM UTC (UTC)",2026-09-15T18:29:00,"Sep 15, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/hackathon/code-kitchen/,https://www.hackerearth.com/challenges/hackathon/code-kitchen/,1,1,True,N/A,AIM,https://media.hackerearth.com/media/companies/78d2a8e-AIM-logo-black.png,https://media.hackerearth.com/media/hackathon/code-kitchen/images/fe9981c2a0-ChatGPT_Image_Aug_25_2026_04_13_38_PM.jpg,N/A,"Hacking is building things that you always wanted to have but no one has built it yet. It's to come up with an amazing idea and work tirelessly on it. It is to fail, fail again and fail better. Try out new things and learn while doing that. It's to work together, collaborate and build things that are innovative. It is to be a better programmer. With that spirit, HackerEarth is conducting a hackathon - Code Kitchen and invites all developers and hackathon enthusiasts to participate in an interesting and engaging hackathon."
HCLTech Java Engineering Hiring Challenge,HCLTech,Ongoing,N/A,N/A,2026-09-05,2026-10-04,N/A,1,1,N/A,N/A,N/A,live,https://www.hackerearth.com/challenges/competitive/hcltech-java-challenge-2027/,hackerearth.com,2026-09-14T15:57:15Z,hcltech-java-challenge-2027,Competitive,HCLTech,1233,2026-09-05T12:30:00,"Sep 05, 2026 12:30 PM UTC (UTC)",2026-10-04T18:29:00,"Oct 04, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/competitive/hcltech-java-challenge-2027/,https://www.hackerearth.com/challenges/test/hcltech-java-challenge-2027/,1,1,False,hiring-database,HCLTech,N/A,https://media.hackerearth.com/media/hackathon/hcltech-java-challenge-2027/images/53a6416ca9-ChatGPT_Image_Sep_5_2026_01_32_53_PM.jpg,https://media.hackerearth.com/media/hackathon/hcltech-java-challenge-2027/images/27151614a8-banner_hcl_hiring.png,"HCLTech Hiring Challenge - Experience Meets Opportunity. 5+ Years of Experience? Your next career opportunity could start here. Welcome to the HCLTech Hiring Challenge, a skills-first hiring opportunity for experienced technology professionals who are ready to put their expertise to the test. Designed for professionals with 5+ years of experience in Java and related technologies, this challenge gives you the opportunity to demonstrate your technical depth, problem-solving ability, and real-world engineering skills. No long screening process. No guesswork. Let your skills speak for you. The Challenge The hiring challenge is designed to evaluate the skills that matter in real-world software engineering — from Java and Spring Boot to DSA, SQL, JPA, cloud, DevOps, and modern development practices. The challenge is conducted across 2 rounds, progressively testing your technical knowledge, coding ability, project skills, and professional competencies. Your Hiring Journey Register → Technical Assessment → Practical Assessment → Shortlisting → Interviews → HCLTech Perform well across the challenge and get the opportunity to progress to the next stages of the HCLTech hiring process. Who Can Participate? The HCLTech Hiring Challenge is open to professionals with 5+ years of relevant experience in software development and technology. If you have hands-on experience with Java and modern software engineering technologies, and you're ready to take on a new career opportunity, this challenge is for you. Think you have what it takes? Selection Process Candidates who successfully perform in the challenge will be shortlisted for the subsequent stages of the HCLTech hiring process."
HCLTech GCP Data Engineer Hiring Challenge,HCLTech,Ongoing,N/A,N/A,2026-09-05,2026-10-04,N/A,1,1,N/A,N/A,N/A,live,https://www.hackerearth.com/challenges/competitive/hcltech-gcp-data-engineer-hiring-challenge/,hackerearth.com,2026-09-14T15:57:15Z,hcltech-gcp-data-engineer-hiring-challenge,Competitive,HCLTech,268,2026-09-05T12:30:00,"Sep 05, 2026 12:30 PM UTC (UTC)",2026-10-04T18:29:00,"Oct 04, 2026 06:29 PM UTC (UTC)",https://www.hackerearth.com/challenges/competitive/hcltech-gcp-data-engineer-hiring-challenge/,https://www.hackerearth.com/challenges/test/hcltech-gcp-data-engineer-hiring-challenge/,1,1,False,hiring-database,HCLTech,N/A,https://media.hackerearth.com/media/hackathon/hcltech-gcp-data-engineer-hiring-challenge/images/8492d787a9-ChatGPT_Image_Sep_5_2026_01_34_06_PM.jpg,https://media.hackerearth.com/media/hackathon/hcltech-gcp-data-engineer-hiring-challenge/images/4a72cc3ca87111f1.png,"HCLTech Hiring Challenge - Experience Meets Opportunity. 5+ Years of Experience? Your next career opportunity could start here. Welcome to the HCLTech Hiring Challenge — GCP Data Engineer Track, a skills-first hiring opportunity for experienced data engineering professionals who are ready to put their expertise to the test. Designed for professionals with 5+ years of experience in GCP, data engineering, and related technologies, this challenge gives you the opportunity to demonstrate your technical depth, problem-solving ability, and practical data engineering skills. No long screening process. No guesswork. Let your skills speak for you. The Challenge The hiring challenge is designed to evaluate the skills that matter in modern data engineering — from GCP and BigQuery to advanced SQL, data processing, ETL/ELT, data warehousing, cloud orchestration, and data engineering best practices. The challenge is conducted across 2 rounds, progressively testing your technical knowledge, SQL proficiency, project skills, and professional competencies. Your Hiring Journey Register → Technical Assessment → Practical Assessment → Shortlisting → Interviews → HCLTech Perform well across the challenge and get the opportunity to progress to the next stages of the HCLTech hiring process. Who Can Participate? This challenge is open to professionals with 5+ years of experience with relevant expertise in GCP, data engineering, SQL, and modern cloud data technologies. If you have hands-on experience building data pipelines, working with cloud platforms, transforming and processing data, and solving real-world data engineering problems, this is your opportunity to stand out. Selection Process Candidates who successfully perform in the challenge will be shortlisted for the subsequent stages of the HCLTech hiring process."
G2 AI Engineering Hackathon,G2,Upcoming,N/A,N/A,2026-09-20,2026-09-20,N/A,1,1,N/A,N/A,N/A,N/A,https://www.hackerearth.com/challenges/competitive/g2-ai-engineering-hiring-hackathon/,hackerearth.com,2026-09-14T15:57:16Z,g2-ai-engineering-hiring-hackathon,Competitive,G2,1358,2026-09-20T05:30:00,"Sep 20, 2026 05:30 AM UTC (UTC)",2026-09-20T17:30:00,"Sep 20, 2026 05:30 PM UTC (UTC)",https://www.hackerearth.com/challenges/competitive/g2-ai-engineering-hiring-hackathon/,https://www.hackerearth.com/challenges/test/g2-ai-engineering-hiring-hackathon/,1,1,False,hiring-database,G2,https://media.hackerearth.com/media/companies/ef3fb75-G2_Logo_Red_RGB_1_1.png,https://media.hackerearth.com/media/hackathon/g2-ai-engineering-hiring-hackathon/images/ae47f098ad-G2_2.jpg,https://media.hackerearth.com/media/hackathon/g2-ai-engineering-hiring-hackathon/images/ab3c912ead-G2_1.png,"Build with AI. Get noticed. Build your career at G2. G2 is bringing together exceptional AI engineers and builders for its first-ever AI Engineering Hackathon in Bangalore. This is a hands-on opportunity to work on real-world product challenges, build AI-powered solutions, and showcase your engineering skills directly to the people building the future of G2. Work alongside G2 engineers and product leaders in an agent-first environment, demonstrate how you think and build, and stand out for an opportunity to join G2's AI Engineering team. This isn't just about winning a hackathon. It's about building your next opportunity. Eligibility &amp; Rules 3 - 7 years of professional software engineering experience Strong proficiency in TypeScript/JavaScript or Python Experience with web &amp; backend development Hands-on experience building AI/LLM and agent-powered features and systems using frontier models from OpenAI, Anthropic, or Google Expertise with AI coding agents such as Claude Code, Codex, OpenCode, or Pi Experience collaborating with product stakeholders Must be 18+, legally eligible to work in India, and based in Bangalore or willing to relocate to Bangalore. What you'll be evaluated on Technical excellence — How well you engineer your solution AI application — How meaningfully and effectively you use AI Product thinking — How well you understand and address the problem Innovation — The originality of your approach Execution — The quality and functionality of your prototype Production readiness — How you think about reliability, scalability, and real-world use"
